name,online_order,book_table,rate,votes,location,rest_type,dish_liked,approx_cost(for two people),listed_in(city)
Hotel Blue Land,No,No,,0,Indiranagar,Quick Bites,,200.0,Indiranagar
Whats Ap,No,No,3.3,6,Whitefield,Casual Dining,,800.0,Brookefield
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,344,Koramangala 5th Block,"Casual Dining, Bar","Beef Steak, Cocktails, Mojito, Paneer Ke Sholay, Caramel Custard, Prawn Ghee Roast, Beer",1000.0,Koramangala 4th Block
The Humming Tree,No,No,4.0,2432,Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay",2000.0,Old Airport Road
Fujian Express,Yes,No,3.4,35,JP Nagar,Quick Bites,,200.0,JP Nagar
Panky's Kitchen,No,No,,0,Whitefield,Quick Bites,,400.0,Brookefield
Grubhouse,Yes,No,4.1,332,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Crispy Corn, Mutton Curry, Lemonade, Fries",800.0,Indiranagar
Mudpipe Cafe,Yes,Yes,4.5,1880,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",900.0,Koramangala 7th Block
Shizusan Shophouse & Bar,Yes,Yes,4.4,1313,Whitefield,"Casual Dining, Bar","California Roll, Cocktails, Mocktails, Maki Roll, Noodles, Veg Sushi, Momos",1800.0,Whitefield
Tea Trails,Yes,No,,0,HSR,Casual Dining,,600.0,BTM
Kalingas,Yes,No,3.9,173,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali",250.0,Bannerghatta Road
Public Khana,Yes,No,3.4,17,BTM,Quick Bites,,200.0,Koramangala 5th Block
Authentic Aandhra,Yes,No,,0,BTM,Delivery,,300.0,Jayanagar
The Arabian Nights,Yes,No,2.6,53,BTM,"Takeaway, Delivery",,300.0,Koramangala 7th Block
Svadu Sweets,No,No,3.3,6,BTM,"Quick Bites, Sweet Shop",,200.0,Koramangala 5th Block
Corner House Ice Cream,Yes,No,4.6,277,Koramangala 5th Block,Dessert Parlor,"Brownie Chocolate, Brown Bomb, Hot Chocolate Fudge, Fudge Cake, Brownie Fudge",400.0,Koramangala 5th Block
XOOX Brewmill,No,Yes,4.4,1555,Koramangala 5th Block,"Microbrewery, Casual Dining","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada",2000.0,Koramangala 4th Block
Burger King,Yes,No,4.1,359,HSR,Quick Bites,"Burgers, Wings, Whopper Burger, Cheesy Fries, Italian Fries",600.0,Koramangala 5th Block
Padosi Apke Apne,No,No,,0,JP Nagar,Quick Bites,,300.0,JP Nagar
Spice Boulevard,No,No,3.9,89,Whitefield,Cafe,"Sandwich, Pancakes, Garlic Bread, Coffee, Nachos, Pasta Alfredo, Wine",700.0,Whitefield
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto",500.0,JP Nagar
Khanapur Express,No,No,,0,JP Nagar,Quick Bites,,500.0,JP Nagar
Desi Vibes,Yes,No,3.7,46,BTM,Casual Dining,Malai Kofta,600.0,Koramangala 4th Block
The South,No,No,3.7,21,Whitefield,Quick Bites,,200.0,Whitefield
Trippy Paradise,Yes,No,2.6,61,BTM,Cafe,,900.0,Koramangala 6th Block
Tata Cha,Yes,No,,0,Whitefield,Cafe,,500.0,Whitefield
Lassi Corner,Yes,No,3.5,16,Koramangala 5th Block,Beverage Shop,,300.0,Jayanagar
Special Biriyani,No,No,2.9,4,JP Nagar,Quick Bites,,300.0,JP Nagar
Nando's,Yes,No,4.3,1220,Indiranagar,Casual Dining,"Peri Peri Chicken, Peri Peri Fries, Peri Peri Drizzle, Burgers, Chicken Breast Burger, Potato Wedges, Murgh Platter",1200.0,Church Street
Bangaliana,Yes,No,3.7,11,Indiranagar,Quick Bites,,500.0,Brigade Road
Mandi,Yes,Yes,3.8,561,JP Nagar,Casual Dining,"Phirni, Chaat, Noodles, Rasgulla, Rabri, Butter Naan, Jalebi",800.0,BTM
TGS Retails,No,No,3.3,4,HSR,"Takeaway, Delivery",,600.0,Koramangala 4th Block
Royal's Biryani,Yes,No,,0,BTM,Quick Bites,,300.0,BTM
Safe House,No,Yes,4.1,1382,HSR,"Bar, Casual Dining","Prawn, Masala Peanuts, Honey Chilli Potatoes, Craft Beer, Mushroom Noodles, Cocktails, Pizza",1200.0,Koramangala 4th Block
Imli,Yes,No,3.9,1849,Indiranagar,Casual Dining,"Potato Fries, Imli, Missi Rotis, Jalebi, Chaat, Shikanji, Ginger Tea",800.0,MG Road
The Foodyz,Yes,No,3.7,43,JP Nagar,Quick Bites,"Poha, Tea, Paratha",500.0,JP Nagar
Kadal Da Meen,Yes,No,3.9,116,HSR,Casual Dining,"Sea Food, Anjal Tava Fry, Murgh Ghee Roast",900.0,BTM
Tandoor Dum,No,No,,0,JP Nagar,Casual Dining,,600.0,Jayanagar
New Surya Sweets & Snacks,No,No,3.5,7,BTM,Sweet Shop,,300.0,Koramangala 7th Block
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,"Waffles, Pancakes, Oreo Waffle",400.0,BTM
Stoner,Yes,No,4.5,2621,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake",500.0,Koramangala 6th Block
YumYumSouth,Yes,No,,0,JP Nagar,Delivery,,600.0,JP Nagar
Mecaf Family Restaurant,Yes,No,3.9,214,BTM,Casual Dining,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry",600.0,Koramangala 7th Block
Pavan Tiffin Center,Yes,No,3.3,8,HSR,Quick Bites,,300.0,HSR
The Ants Cafe & Store,Yes,Yes,3.9,1380,Indiranagar,Cafe,"English Breakfast, Coffee, Watermelon Feta Salad, Waffles, Salads, Pasta, Hazelnut Cappuccino",900.0,Indiranagar
Namms Cafe,No,No,,0,BTM,"Takeaway, Delivery",,300.0,Koramangala 7th Block
Makers of Milkshakes,Yes,No,3.9,39,HSR,Beverage Shop,,300.0,Bellandur
Midnight Hunger Solutions 24/7,No,No,3.2,10,Koramangala 5th Block,Delivery,,500.0,Koramangala 5th Block
Sly Granny - The Community House,No,Yes,4.5,980,Indiranagar,"Fine Dining, Bar","Cocktails, Pie, Rolls, Mezze Platter, Schnitzel, Pancakes, Eggs Benedict",2500.0,Old Airport Road
Ustaad Biryani,Yes,No,3.2,5,HSR,Delivery,,500.0,Koramangala 7th Block
Hungry Stone,Yes,No,,0,Koramangala 5th Block,"Takeaway, Delivery",,300.0,Koramangala 4th Block
Jaganath Hotel and Restaurant,Yes,No,3.7,35,JP Nagar,Quick Bites,,200.0,Jayanagar
Vanilla Sky,No,Yes,4.6,766,HSR,Lounge,"Cocktails, Gulab Jamun, Spring Roll, Egg Pakora, Biryani, Veg Nachos, Buffalo Wings",1200.0,HSR
Melt - Eden Park,Yes,Yes,4.0,347,JP Nagar,Casual Dining,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles",1000.0,Bannerghatta Road
Shagun Sweets & Foods,Yes,No,3.5,221,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji",400.0,BTM
Kritunga Restaurant,No,No,3.8,1162,Koramangala 5th Block,Casual Dining,"Bamboo Chicken, Pot Biryani, Brain Fry, Hyderabadi Biryani, Brinjal Curry, Jowar Roti, Mutton Curry",650.0,Koramangala 6th Block
New South Corner,Yes,No,3.7,20,BTM,Quick Bites,,300.0,BTM
Cross Roads Cafe,Yes,No,3.0,59,Indiranagar,Cafe,"Mojito, Fajitas",500.0,Indiranagar
Tippler,No,Yes,4.2,2946,Indiranagar,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos",1300.0,Old Airport Road
New Bhangaru Sweets,No,No,,0,BTM,Sweet Shop,,300.0,Jayanagar
Royal Treat,No,No,4.1,440,Koramangala 5th Block,Casual Dining,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken",500.0,Koramangala 7th Block
Coconut Grove,No,No,3.4,97,JP Nagar,"Casual Dining, Bar","Lime Soda, Appam, Biryani, Pepper Chicken, Vegetable Stew, Chicken Curry",1100.0,Bannerghatta Road
Desi Urbane,No,No,3.6,108,BTM,Quick Bites,,450.0,BTM
Punjabi Tadka,No,No,3.2,7,Whitefield,Quick Bites,,400.0,Whitefield
Gilly's Restobar,No,Yes,4.5,3914,Koramangala 5th Block,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",1000.0,Koramangala 6th Block
Nalaas Aapakadai,No,No,2.7,33,Whitefield,Food Court,Appam,400.0,Whitefield
Empire Restaurant,Yes,No,4.0,88,HSR,"Takeaway, Delivery",Chicken Grill,400.0,HSR
Naati Biriyani,No,No,3.1,4,BTM,Quick Bites,,300.0,Koramangala 7th Block
Shanthi Sagar,Yes,No,3.6,519,JP Nagar,Casual Dining,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer",400.0,Jayanagar
Sweet Mansion,No,No,,0,Indiranagar,Bakery,,200.0,Old Airport Road
Fresh Kitchen,No,No,,0,HSR,Quick Bites,,400.0,Koramangala 4th Block
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.1,54,Indiranagar,Delivery,"Burgers, Pasta, Sandwiches",500.0,MG Road
Udupi Park Inn,No,No,,0,JP Nagar,Quick Bites,,150.0,Jayanagar
BTM Bawarchi Biryani,Yes,No,3.6,132,BTM,"Takeaway, Delivery",Chicken Biryani,600.0,Koramangala 5th Block
CakeZone,No,No,4.1,666,Indiranagar,Bakery,"Cup Cake, Chocolate Truffle, Chocolate Cake, Coffee, Choco Truffle, Photo Cake, Cheesecake",500.0,Indiranagar
Punjabi Tadka,No,No,3.2,7,Whitefield,Quick Bites,,400.0,Whitefield
Arabian Bites,Yes,No,3.4,24,BTM,Quick Bites,,300.0,BTM
Swathi Spice n Ice,Yes,No,3.5,166,HSR,Casual Dining,"Andhra Meal, Cocktails, Chicken Biryani, Panneer Butter Masala, Mutton Biryani",700.0,HSR
Best Shawarmas,Yes,No,,0,BTM,Delivery,,300.0,Koramangala 6th Block
A Today Thick Shakes,Yes,No,3.2,9,Koramangala 5th Block,Beverage Shop,,200.0,BTM
Mycakeshop,Yes,No,,0,BTM,Bakery,,300.0,Koramangala 6th Block
Srinidhi Sagar,No,No,3.7,53,Whitefield,Quick Bites,"Masala Dosa, Filter Coffee, Ghee Rice, Tea",300.0,Whitefield
Melting Spot,No,No,4.0,134,Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli",600.0,Old Airport Road
GrannyzHut,Yes,No,3.4,8,HSR,Quick Bites,,350.0,Koramangala 5th Block
Sri Sharana Basaveshwara Khanavali,No,No,,0,BTM,Quick Bites,,200.0,Koramangala 5th Block
Invitation Bar & Restaurant,No,No,3.0,16,BTM,Bar,,1000.0,Koramangala 7th Block
S L Prabhat,No,No,,0,Whitefield,Delivery,,200.0,Whitefield
Empire Restaurant,Yes,No,4.1,6948,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",750.0,Koramangala 6th Block
Teja Special Kitchen,No,No,,0,Whitefield,Delivery,,200.0,Whitefield
Mumbai Kulfi,Yes,No,4.0,92,HSR,Dessert Parlor,"Calcutta Paan, Malai Kulfi, Tender Coconut Kulfi, Kesar Pista Kulfi, Mango Kulfi",100.0,Sarjapur Road
Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,"Momos, Chilli Chicken, Chicken Manchow Soup, Spicy Chicken Wings, Thukpa, Chicken Noodle, Tai Pai Chicken",750.0,Koramangala 6th Block
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1154,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka",1100.0,Jayanagar
Birinz,Yes,No,4.3,83,HSR,Casual Dining,"Gulab Jamun, Chicken Guntur, Mushroom Biryani, Chicken Kolhapuri, Paneer Biryani, Chicken Biryani, Raita",650.0,Koramangala 5th Block
Tarbouche,Yes,No,,0,BTM,Quick Bites,,300.0,Bannerghatta Road
Sri Durga Cane Fresh,No,No,3.4,5,BTM,Beverage Shop,,100.0,BTM
Sethji Home Made Food,Yes,No,3.5,229,Indiranagar,Quick Bites,"Paratha, Gulab Jamun, Sweet Lassi, Paneer Bhurji, Chaach, Paneer Parantha, Raita",350.0,Old Airport Road
Le Rosa Restaurant,No,No,3.2,4,HSR,Casual Dining,,700.0,BTM
Sankranthi Veg Restaurant,Yes,No,3.0,102,BTM,Casual Dining,"Tea, Vada Sambar, Masala Dosa",600.0,BTM
Pensiri Cafe,Yes,No,3.5,48,HSR,"Takeaway, Delivery",,300.0,HSR
Tella Tales,Yes,No,4.2,414,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries",700.0,Koramangala 6th Block
Hearts Unlock Cafe,No,No,3.2,11,BTM,Cafe,,500.0,BTM
Melting Pot at Woodrose,Yes,No,3.7,19,JP Nagar,Quick Bites,,800.0,Bannerghatta Road
The Cravery,Yes,No,2.6,18,JP Nagar,Cafe,,500.0,JP Nagar
New Surya Sweets & Snacks,No,No,3.5,7,BTM,Sweet Shop,,300.0,Koramangala 6th Block
Night Biryani,Yes,No,3.2,21,BTM,"Takeaway, Delivery",,600.0,Koramangala 7th Block
Marunadan Kada,No,No,3.3,6,BTM,Quick Bites,,250.0,Jayanagar
Grigliato,Yes,No,3.9,717,HSR,Casual Dining,"Beer, Steak, Burgers, Fritters, Caramel Custard, Pasta Alfredo, Pizza",1000.0,Koramangala 5th Block
The Uptown,No,No,,0,BTM,"Quick Bites, Beverage Shop",,300.0,Koramangala 7th Block
Mast Kalandar,No,No,2.3,175,JP Nagar,Casual Dining,"Raita, Thali, Paratha, Chole, Buttermilk, Paneer Bhurji, Rice",450.0,BTM
Chianti,No,Yes,4.7,4870,Koramangala 5th Block,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",1500.0,Koramangala 6th Block
Smaaash,No,Yes,4.0,189,Whitefield,"Casual Dining, Pub","Pizza, Beer",1500.0,Whitefield
Meeraa's Beegara Oota,Yes,No,3.8,258,HSR,Casual Dining,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry",600.0,Koramangala 4th Block
Kanha's Kafe,No,No,3.5,12,Koramangala 5th Block,Quick Bites,,200.0,Koramangala 5th Block
Shaap,Yes,No,3.6,207,Koramangala 5th Block,Casual Dining,"Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha",500.0,Koramangala 7th Block
Zaica Dine & Wine,Yes,Yes,4.0,1013,Indiranagar,Casual Dining,"Chocolate Pani Puri, Butter Chicken, Gajar Halwa, Keema Pav, Mocktails, Raj Kachori, Biryani",1200.0,Indiranagar
Delhi 6,No,No,,0,Indiranagar,"Takeaway, Delivery",,200.0,Indiranagar
RICE BAR,No,No,3.1,6,HSR,Delivery,,500.0,HSR
Karavali Grand,Yes,No,3.7,27,Koramangala 5th Block,Casual Dining,,600.0,Koramangala 7th Block
Billionaires Cafe,No,No,3.8,47,Koramangala 5th Block,Cafe,Friendly Staff,600.0,Koramangala 6th Block
Night Biryani,Yes,No,3.2,21,BTM,"Takeaway, Delivery",,600.0,Koramangala 4th Block
Lassi Pot,Yes,No,3.3,7,HSR,Beverage Shop,,100.0,BTM
Kanteen 038,Yes,No,3.9,54,Indiranagar,Quick Bites,"Chai, Maggi, English Breakfast",200.0,MG Road
Birinz,Yes,No,4.2,78,HSR,Casual Dining,"Gulab Jamun, Chicken Guntur, Mushroom Biryani, Chicken Kolhapuri, Paneer Biryani, Chicken Biryani",400.0,HSR
Sids Cafe,Yes,No,,0,Koramangala 5th Block,Quick Bites,,200.0,BTM
Fry Factory,No,No,,0,HSR,Quick Bites,,250.0,HSR
@Italy,No,No,3.5,40,HSR,Quick Bites,"Pizza, Risotto, Aglio Olio Pasta, Pasta Barbaresca",700.0,HSR
Vidya Bakery,Yes,No,,0,Whitefield,Bakery,,500.0,Brookefield
Furry Fairy Paw Paradise,No,No,,0,JP Nagar,Cafe,,500.0,Bannerghatta Road
The Cake Lair,Yes,No,3.4,9,BTM,Quick Bites,,600.0,Koramangala 4th Block
Chokha Chowka,Yes,No,3.9,358,BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer",400.0,JP Nagar
Balaji Bombay Vada Pav Gujrati Dalebi,Yes,No,3.8,37,JP Nagar,Takeaway,,150.0,Bannerghatta Road
Grapevine,Yes,Yes,4.1,733,HSR,Cafe,"Wine, Pizza, Brownie, Pasta, Souvlaki, Tiramisu, Mezze Platter",1200.0,HSR
Cafe Potpourri,Yes,No,,132,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich",400.0,Jayanagar
Hotel Dine City,Yes,No,3.5,83,HSR,Casual Dining,,800.0,BTM
Black Deer,Yes,No,4.4,149,Koramangala 5th Block,"Takeaway, Delivery","Chocolate Fudge, Chocolate Shake, Bubble Gum Shake, Hot Chocolate, Belgian Waffles, Mango Milkshake",350.0,Koramangala 7th Block
Canopy Flavours,No,No,2.6,49,HSR,Cafe,"Sandwich, Burgers",450.0,HSR
Kakatiya's,Yes,No,3.1,6,HSR,Quick Bites,,250.0,Koramangala 4th Block
Flying Cakes,No,No,,0,JP Nagar,Bakery,,500.0,JP Nagar
Chefactory Gold by Flechazo,Yes,No,3.7,354,Whitefield,Casual Dining,"Chicken Tikka Biryani, Hyderabadi Chicken Dum Biryani, Raita, Paneer Tikka, Sandwich, Chicken Malai Tikka, Grilled Mushrooms",700.0,Marathahalli
Bonum cibum,Yes,No,4.5,253,HSR,Casual Dining,"Salads, Mocktails, Falafel, Pasta, Shawarma, Babaganush, Pizza",1200.0,Koramangala 6th Block
Mid-Night Crunch,Yes,No,3.7,455,HSR,"Takeaway, Delivery",Rolls,400.0,HSR
Amaravathi Biryani Zone,Yes,No,,0,Whitefield,Quick Bites,,600.0,Brookefield
Bonsouth,Yes,Yes,4.2,2618,Koramangala 5th Block,Casual Dining,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa",1300.0,Jayanagar
The Mylapore Cafe,Yes,No,4.1,119,HSR,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli",200.0,HSR
New Mogul Empire,Yes,No,3.3,6,JP Nagar,Quick Bites,,300.0,Jayanagar
Hatti Kaapi,Yes,No,3.9,237,Koramangala 5th Block,Quick Bites,"Filter Coffee, Badam Milk, Idli, Hot Coffee, Samosa, Lemon Tea, Mini Idlis",200.0,Koramangala 5th Block
Sri Raghavendra Davanagere Benne Dose Hotel,No,No,4.0,36,JP Nagar,Quick Bites,,200.0,JP Nagar
Top Foam Parantha Roll & Juice Centre,No,No,3.4,13,BTM,Quick Bites,,300.0,Koramangala 7th Block
The Belgian Waffle Co.,Yes,No,4.0,71,Indiranagar,Dessert Parlor,"Waffles, Pancakes",400.0,Indiranagar
Tandoor Hut,Yes,No,4.1,1003,Koramangala 5th Block,Casual Dining,"Biryani, Tandoori Chicken, Panneer Butter Masala, Naan, Mutton Roganjosh, Lassi, Chicken Tikka Masala",700.0,Koramangala 6th Block
99 Pancakes,Yes,No,4.5,341,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes",300.0,Koramangala 4th Block
Bombay Kulfis,No,No,,0,Whitefield,Dessert Parlor,,200.0,Brookefield
TGS Retails,No,No,3.3,4,HSR,"Takeaway, Delivery",,600.0,Koramangala 4th Block
Cafe Coffee Day,No,No,3.8,36,HSR,Cafe,,650.0,HSR
Fish Chain,Yes,No,4.1,52,BTM,"Takeaway, Delivery",Sea Food,250.0,JP Nagar
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,346,Koramangala 5th Block,"Casual Dining, Bar","Beef Steak, Cocktails, Mojito, Paneer Ke Sholay, Caramel Custard, Prawn Ghee Roast, Stuffed Mushroom",1000.0,Koramangala 5th Block
Purani Dehli,Yes,No,2.6,60,Whitefield,Food Court,"Chaat, Chole Bhature, Lassi, Paratha, Chhole Bhature, Panipuri, Raj Kachori",600.0,Whitefield
Chilld Monk,Yes,No,3.5,8,BTM,Dessert Parlor,,250.0,JP Nagar
Aha Juice Bar,No,No,3.6,13,BTM,Beverage Shop,,200.0,JP Nagar
